date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:39:09	376/376	---MCZ	200	added ('OK')	text/plain	etag:cacheable:c7a21ec6b404706c52388c2a70bb6319	https://bouquetbar.com/robots.txt		(from )
20:39:10	213867/213867	---MCZ	200	added ('OK')	text/html	etag:cacheable:114e9ea1db5d2d2804744ae957e4d31e	https://bouquetbar.com/	C:/Users/Microsoft%20Windows/Desktop/GIFT/GIFT/bouquetbar.com/index.html	(from )
20:39:10	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2025%20Feb%202019%2013:39:11%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/Microsoft%20Windows/Desktop/GIFT/GIFT/www.googletagmanager.com/gtm.05445.delayed	(from https://bouquetbar.com/)
20:39:10	4359/4359	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2022%20Feb%202019%2016:14:59%20GMT	https://d10lpsik1i8c69.cloudfront.net/w.js	C:/Users/Microsoft%20Windows/Desktop/GIFT/GIFT/d10lpsik1i8c69.cloudfront.net/w.js	(from https://bouquetbar.com/)
20:39:11	793/793	---M--	200	added ('OK')	image/png	date:Mon,%2025%20Feb%202019%2013:39:12%20GMT	http://cdn.shopify.com/s/files/1/1504/0434/t/5/assets/favicon.png?9031248892844675455	C:/Users/Microsoft%20Windows/Desktop/GIFT/GIFT/cdn.shopify.com/s/files/1/1504/0434/t/5/assets/favicon8f03.png	(from https://bouquetbar.com/)
20:39:11	28759/28759	---M-Z	200	added ('OK')	text/css	etag:%221544639720%22	http://maxcdn.bootstrapcdn.com/font-awesome/4.6.0/css/font-awesome.min.css	C:/Users/Microsoft%20Windows/Desktop/GIFT/GIFT/maxcdn.bootstrapcdn.com/font-awesome/4.6.0/css/font-awesome.min.css	(from https://bouquetbar.com/)
20:39:14	193846/193846	---M-Z	200	added ('OK')	text/css	date:Mon,%2025%20Feb%202019%2013:39:15%20GMT	http://cdn.shopify.com/s/files/1/1504/0434/t/5/assets/main.scss.css?9031248892844675455	C:/Users/Microsoft%20Windows/Desktop/GIFT/GIFT/cdn.shopify.com/s/files/1/1504/0434/t/5/assets/main.scss8f03.css	(from https://bouquetbar.com/)
20:39:14	1776/1776	---M-Z	200	added ('OK')	text/css	date:Tue,%2016%20Jan%202018%2008:17:08%20GMT	http://cdn.shopify.com/s/files/1/1504/0434/t/5/assets/slick.css?9031248892844675455	C:/Users/Microsoft%20Windows/Desktop/GIFT/GIFT/cdn.shopify.com/s/files/1/1504/0434/t/5/assets/slick8f03.css	(from https://bouquetbar.com/)
20:39:15	3146/3146	---M-Z	200	added ('OK')	text/css	date:Tue,%2016%20Jan%202018%2008:20:01%20GMT	http://cdn.shopify.com/s/files/1/1504/0434/t/5/assets/slick-theme.css?9031248892844675455	C:/Users/Microsoft%20Windows/Desktop/GIFT/GIFT/cdn.shopify.com/s/files/1/1504/0434/t/5/assets/slick-theme8f03.css	(from https://bouquetbar.com/)
20:39:16	682/682	---M-Z	200	added ('OK')	text/css	date:Mon,%2025%20Feb%202019%2013:39:17%20GMT	http://cdn.shopify.com/s/files/1/1504/0434/t/5/assets/fathers-day-2018.scss.css?9031248892844675455	C:/Users/Microsoft%20Windows/Desktop/GIFT/GIFT/cdn.shopify.com/s/files/1/1504/0434/t/5/assets/fathers-day-2018.scss8f03.css	(from https://bouquetbar.com/)
20:39:17	521/521	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258e94c53-209%22	https://conversionpirate.com/pirate-trust.js	C:/Users/Microsoft%20Windows/Desktop/GIFT/GIFT/conversionpirate.com/pirate-trust.js	(from https://bouquetbar.com/)
20:39:17	50633/50633	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2009%20Jan%202019%2015:23:10%20GMT	https://cdn.shopify.com/s/javascripts/tricorder/trekkie.storefront.min.js?v=2017.09.05.1	C:/Users/Microsoft%20Windows/Desktop/GIFT/GIFT/cdn.shopify.com/s/javascripts/tricorder/trekkie.storefront.min97e4.js	(from https://bouquetbar.com/)
